"","nGene","nReads","orig.ident","percent.mito","percent.ERCC","percent.ribo","res.0.6","plate","cell_ontology_class","tsne_1","tsne_2","tsne_3"
"L5.MAA000574.3_8_M.1.1",188,306351,"Combined",0,0.274924321138721,0.00112289497994131,"0","MAA000574","udf",-4.6059407739613,-3.02162813321291,25.925726996971
"M11.MAA000574.3_8_M.1.1",1775,548004,"Combined",0,0.0409215486553748,0.00267333815081642,"7","MAA000574","pancreatic acinar cell",-12.6199692592989,19.0906706091067,7.89191866141866
"N16.MAA000574.3_8_M.1.1",3404,699299,"Combined",0,0.0356239079559418,0.0131960720664551,"5","MAA000574","pancreatic ductal cell",-19.4025128543929,0.169945194536803,-15.4155675285776
"O21.MAA000574.3_8_M.1.1",1459,955197,"Combined",0,0.0532996357689735,0.0184684415884891,"5","MAA000574","pancreatic acinar cell",-20.20562442013,-0.26906310559553,-13.5892291393276
"G21.MAA000574.3_8_M.1.1",116,93422,"Combined",0,0.610598886258295,2.14082336066451e-05,"0","MAA000574","udf",-6.60921442236636,-7.66491706920883,21.9126015496281
"I14.MAA000574.3_8_M.1.1",552,304787,"Combined",0,0.203010802174555,0.00268384150242628,"0","MAA000574","pancreatic acinar cell",-4.33141120814758,-3.90283524902314,24.6707623070778
"K1.MAA000574.3_8_M.1.1",2803,745285,"Combined",0,0.0283838098081368,0.00553613718242015,"7","MAA000574","pancreatic acinar cell",-13.8084361043249,16.2870293350427,11.4713764291607
"L7.MAA000574.3_8_M.1.1",257,805945,"Combined",0,0.0491715666380376,0.000439235928009976,"0","MAA000574","udf",0.0778427619976867,0.838245524668874,26.8392373355785
"M14.MAA000574.3_8_M.1.1",255,1012285,"Combined",0,0.10340689172612,0.0018848446830685,"0","MAA000574","udf",0.0278671081843155,2.99907981413785,26.8156820400435
"N20.MAA000574.3_8_M.1.1",2239,1280627,"Combined",0,0.0219196579616857,0.0110953462639785,"10","MAA000574","endothelial cell",-31.7720798944223,6.91258586794634,-5.39073894878236
"P1.MAA000574.3_8_M.1.1",683,109985,"Combined",0,0.358164098972923,0.00322771286993681,"0","MAA000574","pancreatic acinar cell",-7.63422119011562,-8.55463314630409,20.5093320345696
"E6.MAA000574.3_8_M.1.1",298,374181,"Combined",0,0.319931807979121,0.0113180519588114,"0","MAA000574","udf",-2.70283457340073,-2.94623370917629,25.7556495927272
"F14.MAA000574.3_8_M.1.1",180,62189,"Combined",0,0.645347643596879,6.43200566016498e-05,"0","MAA000574","udf",-7.07619386967413,-7.54937992987158,21.5294770673976
"I15.MAA000574.3_8_M.1.1",684,347871,"Combined",0,0.166861856144158,0.00144306366440433,"0","MAA000574","pancreatic acinar cell",-11.436181229945,7.96118089142952,18.2483998561482
"K2.MAA000574.3_8_M.1.1",245,370,"Combined",0,0.997870981477539,0.0243243243243243,"6","MAA000574","udf",-16.3734185112045,-18.7177252661822,4.03452829474911
"E7.MAA000574.3_8_M.1.1",3433,2039814,"Combined",0,0.00587222441264353,0.005083306615211,"5","MAA000574","udf",-18.5673738759561,3.16850936142531,-17.5336897957728
"F15.MAA000574.3_8_M.1.1",288,423980,"Combined",0,0.248619450332112,0.00446011604320959,"0","MAA000574","udf",-2.51108688274773,-2.32781467531611,26.0449130299616
