CellID;cellType;HIF1A;ATP1A2;FGFR3;LMO3;TGFBI;ANXA2;EGFR;MBP;SOX9;STMN2;dimension 1;dimension 2;dimension 3;Dataset
1001000182.G3;Neoplastic;1032.6349;0;0;0;19.754753;334.0349;1711.48;0;0;0;-3.2488925;6.992555;3.6775522;Glioblastoma
1001000182.A2;Neoplastic;424.11404;0;0;21.936934;0;1343.0278;3797.5269;272.99295;116.99698;0;-4.7589483;7.543394;2.8053935;Glioblastoma
1001000182.C4;Neoplastic;250.25375;0;29.750446;0;0;1519.0228;966.01447;0;35.000526;0;-4.2754846;8.056192;3.4377644;Glioblastoma
1.00E+16;Neoplastic;0;0;0;0;0;204.79114;53.635773;2452.6177;53.635773;0;-4.894445;7.1954527;2.7215035;Glioblastoma
1001000182.F5;Neoplastic;1619.05;0;0;0;0;171.59163;1458.5288;0;83.028206;0;-3.7595985;7.5378323;3.4534256;Glioblastoma
1001000182.B5;Neoplastic;1113.2572;0;0;0;0;1567.3186;334.20764;0;493.2444;0;-3.9483945;7.4118648;3.3923697;Glioblastoma
1001000182.F10;Neoplastic;0;0;0;0;0;1298.6415;1094.9878;1633.4148;394.75354;0;-4.9086776;7.4558706;2.7816868;Glioblastoma
1001000182.C11;Neoplastic;112.192894;0;0;349.8897;0;2886.59;7.606298;0;233.89366;0;-3.9123597;7.746546;3.481071;Glioblastoma
1001000182.H9;Neoplastic;265.57907;0;75.87973;0;0;682.9176;0;4552.7837;66.39477;0;-4.939353;7.4046006;2.6822999;Glioblastoma
1001000182.A4;OPC;0;1.6495363;0;120.416145;0;2033.8782;0;0;0;0;-5.5249605;2.3781013;4.5286665;Glioblastoma
1001000182.D8;Neoplastic;1107.1898;0;0;0;3087.6755;4318.04;265.72556;0;0;0;-3.2997692;7.3809485;3.6990876;Glioblastoma
1001000182.G2;Neoplastic;822.549;0;0;95.03554;0;0;432.57556;0;58.987576;0;-5.202919;7.232992;2.6527462;Glioblastoma
1001000182.F11;Neoplastic;558.9108;0;0;104.066864;0;1330.441;1550.2374;0;213.5165;0;-4.20192;8.256402;3.6279862;Glioblastoma
